Category,Word,Category Occurences,Category Document Occurences,Frequency in Category,Documents in Category,Words in Category,All Occurences,All Document Occurences,Frequency in All Categories,Intra-Category Frequency,Documents in All Categories,Words in All Categories
VC,office,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,money,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,ldi,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,manager,5,1,0.5,2,201,5,1,0.25,2.0,4,340
VC,equip,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,alternative,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,content,2,2,1.0,2,201,2,2,0.5,2.0,4,340
VC,group,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,knowledge,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,also,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,mcdonald,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,aum,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,disclosed,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,equity,5,1,0.5,2,201,5,1,0.25,2.0,4,340
VC,employee,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,agreed,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,pending,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,real,2,1,0.5,2,201,3,2,0.5,1.0,4,340
VC,march,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,ceo,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,regulatory,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,liability,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,private,5,1,0.5,2,201,5,1,0.25,2.0,4,340
VC,world,3,1,0.5,2,201,4,2,0.5,1.0,4,340
VC,difference,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,gannon,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,prime,4,1,0.5,2,201,4,1,0.25,2.0,4,340
VC,term,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,kennedy,3,1,0.5,2,201,3,1,0.25,2.0,4,340
VC,ryan,4,1,0.5,2,201,4,1,0.25,2.0,4,340
VC,garage,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,become,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,quarter,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,financial,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,deal,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,positioned,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,related,1,1,0.5,2,201,2,2,0.5,1.0,4,340
VC,cash,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,second,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,year,1,1,0.5,2,201,3,2,0.5,1.0,4,340
VC,close,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,insurance,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,said,3,1,0.5,2,201,3,1,0.25,2.0,4,340
VC,network,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,investing,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,sun,8,1,0.5,2,201,8,1,0.25,2.0,4,340
VC,spokesman,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,pei,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,closed,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,international,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,announced,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,available,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,slated,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,advisor,3,1,0.5,2,201,3,1,0.25,2.0,4,340
VC,alone,2,1,0.5,2,201,3,2,0.5,1.0,4,340
VC,approval,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,delivering,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,c,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,bentall,3,1,0.5,2,201,3,1,0.25,2.0,4,340
VC,act,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,retain,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,think,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,first,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,tuesday,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,number,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,owned,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,wash,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,market,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,management,5,1,0.5,2,201,5,1,0.25,2.0,4,340
VC,would,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,much,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,asset,4,2,1.0,2,201,4,2,0.5,2.0,4,340
VC,jurvetson,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,firm,3,1,0.5,2,201,3,1,0.25,2.0,4,340
VC,life,8,1,0.5,2,201,9,2,0.5,1.0,4,340
VC,buy,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,redmond,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,mostly,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,successful,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,company,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,acquire,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,subsidiary,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,donald,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,remain,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,venture,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,mr,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,providing,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,acquisition,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,detailed,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,heart,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,estate,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,loftus,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,technology,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,windsor,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,conn,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,information,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,draper,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,provide,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,make,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,investment,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,majority,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,trusted,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,brand,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,stand,2,1,0.5,2,201,2,1,0.25,2.0,4,340
VC,added,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,may,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,june,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,lab,4,1,0.5,2,201,4,1,0.25,2.0,4,340
VC,driven,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,involving,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,coverage,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,fisher,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,acted,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,data,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,class,1,1,0.5,2,201,1,1,0.25,2.0,4,340
VC,billion,5,1,0.5,2,201,5,1,0.25,2.0,4,340
